sku,name,warehouse,stock,reorder,cost
COMP-35938,Mouse - Wireless,East Coast Fulfillment,3103,197,$137.25
MOD-79260,SSD - RTX 4070,Express Logistics (WH-03),4831,398,$361.14
MOD-31756,Monitor - Mid-Tower,Central Hub (WH-01),2002,342,$669.47
SKU-EL-31681,Power Supply - Intel Core i7,West Coast Dist,3933,491,$612.98
SKU-EL-29079,Case - 27-inch 4K,West Coast Dist,3637,493,$386.44
PRD-HW-65878,HDD - 27-inch 4K,West Coast Dist,4790,299,$302.85
MOD-14850,Cable - 2TB 7200RPM,Central Hub (WH-01),1268,343,$418.44
PRD-HW-97004,Case - 32GB DDR5,Regional Depot (WH-02),1555,110,$793.94
SKU-EL-5564,GPU - 2TB 7200RPM,Express Logistics (WH-03),4348,430,$667.76
COMP-33610,RAM - Mechanical RGB,Regional Depot (WH-02),1375,192,$34.78
SKU-EL-74287,RAM - Intel Core i7,Central Hub (WH-01),3996,311,$563.72
PWR-29682,GPU - 27-inch 4K,Express Logistics (WH-03),1285,137,$736.51
COMP-45950,Mouse - Mechanical RGB,West Coast Dist,4720,440,$391.76
PRD-HW-65589,Case - 120mm PWM,Express Logistics (WH-03),3512,235,$579.43
MOD-18297,Monitor - 2TB 7200RPM,Regional Depot (WH-02),2989,399,$572.02
MOD-2937,Keyboard - 32GB DDR5,East Coast Fulfillment,2367,222,$744.62
COMP-13697,Power Supply - Wireless,Regional Depot (WH-02),3788,149,$557.77
SKU-EL-12307,Power Supply - Mechanical RGB,West Coast Dist,3485,471,$660.85
PRD-HW-77106,CPU - ATX,Central Hub (WH-01),1477,163,$225.30
PWR-82323,Cooling Fan - 850W Gold,Central Hub (WH-01),3768,435,$369.25
PRD-HW-17027,CPU - 850W Gold,Regional Depot (WH-02),1287,475,$333.98
PRD-HW-41221,CPU - Mechanical RGB,Regional Depot (WH-02),58,447,$622.49
PRD-HW-17526,SSD - 120mm PWM,Central Hub (WH-01),1660,454,$142.09
COMP-97117,Motherboard - RTX 4070,West Coast Dist,3940,272,$68.96
MOD-60884,GPU - 32GB DDR5,Express Logistics (WH-03),4734,490,$600.99
COMP-28915,Power Supply - Wireless,Central Hub (WH-01),211,57,$177.39
COMP-78940,Motherboard - 27-inch 4K,East Coast Fulfillment,2063,309,$279.56
PWR-73324,Power Supply - USB-C 2m,Central Hub (WH-01),3445,67,$130.92
SKU-EL-25739,Cable - 2TB 7200RPM,Central Hub (WH-01),2242,453,$552.09
COMP-36462,RAM - 2TB 7200RPM,Central Hub (WH-01),2618,424,$51.76
PWR-65339,Mouse - 2TB 7200RPM,West Coast Dist,3181,145,$670.17
MOD-14478,Keyboard - RTX 4070,Regional Depot (WH-02),1065,260,$266.09
COMP-96477,GPU - Mechanical RGB,Central Hub (WH-01),3761,268,$528.09
PRD-HW-62946,RAM - Wireless,East Coast Fulfillment,1344,232,$170.71
SKU-EL-95251,GPU - Wireless,West Coast Dist,1724,261,$427.37
PWR-76476,RAM - RTX 4070,West Coast Dist,2229,236,$119.53
SKU-EL-44095,Motherboard - Mid-Tower,East Coast Fulfillment,4981,124,$602.15
MOD-50894,Power Supply - USB-C 2m,West Coast Dist,4031,354,$680.98
PWR-68939,Power Supply - ATX,East Coast Fulfillment,1788,402,$511.65
PRD-HW-85498,CPU - Intel Core i7,Regional Depot (WH-02),3385,231,$661.34
SKU-EL-76159,Power Supply - ATX,Regional Depot (WH-02),3166,415,$615.07
SKU-EL-47706,CPU - USB-C 2m,Central Hub (WH-01),4472,159,$633.20
MOD-34400,Cable - Wireless,East Coast Fulfillment,4834,491,$7.20
SKU-EL-1498,Monitor - Wireless,West Coast Dist,478,450,$406.93
PRD-HW-43916,Mouse - 32GB DDR5,West Coast Dist,2840,230,$155.38
PRD-HW-25816,Monitor - Mid-Tower,West Coast Dist,4380,266,$478.60
PWR-3067,Case - 32GB DDR5,Express Logistics (WH-03),1212,61,$585.82
PWR-19645,Keyboard - USB-C 2m,Express Logistics (WH-03),4696,467,$83.27
COMP-84147,Mouse - Wireless,East Coast Fulfillment,1724,424,$699.82
COMP-38283,Case - 32GB DDR5,Central Hub (WH-01),247,111,$675.18
SKU-EL-15529,CPU - Intel Core i7,Regional Depot (WH-02),4400,455,$788.61
COMP-41996,HDD - Mid-Tower,East Coast Fulfillment,4660,463,$605.19
PWR-17439,Keyboard - Wireless,Express Logistics (WH-03),4351,173,$735.95
PRD-HW-33774,Case - USB-C 2m,Central Hub (WH-01),4572,239,$557.05
PRD-HW-6172,CPU - Mechanical RGB,Express Logistics (WH-03),1383,285,$315.74
PWR-78285,RAM - Intel Core i7,Central Hub (WH-01),2838,457,$93.31
COMP-47168,Cable - 120mm PWM,East Coast Fulfillment,4800,386,$158.86
COMP-94022,Cable - ATX,Regional Depot (WH-02),4860,295,$508.08
SKU-EL-74923,Mouse - 850W Gold,Central Hub (WH-01),3673,106,$658.87
MOD-24331,CPU - 2TB 7200RPM,East Coast Fulfillment,2669,145,$140.31
PRD-HW-17189,Motherboard - 1TB NVMe,Central Hub (WH-01),2535,306,$382.98
SKU-EL-83785,Monitor - Wireless,Central Hub (WH-01),2092,439,$726.43
PWR-35582,Mouse - 32GB DDR5,West Coast Dist,2827,76,$527.19
COMP-89074,Cable - Mid-Tower,West Coast Dist,4839,82,$462.62
PWR-61350,Cable - 2TB 7200RPM,West Coast Dist,2312,70,$601.65
SKU-EL-62012,Case - 27-inch 4K,West Coast Dist,4560,203,$119.46
PWR-4303,Cable - 27-inch 4K,Central Hub (WH-01),1914,208,$714.62
SKU-EL-66673,RAM - Mid-Tower,Express Logistics (WH-03),653,326,$360.46
COMP-49317,Keyboard - USB-C 2m,Express Logistics (WH-03),2328,67,$385.84
SKU-EL-14005,GPU - Intel Core i7,Central Hub (WH-01),3880,106,$426.32
PWR-70423,GPU - 850W Gold,Central Hub (WH-01),2435,451,$625.97
PWR-18205,CPU - 2TB 7200RPM,Regional Depot (WH-02),4972,18,$534.62
PRD-HW-82823,HDD - 27-inch 4K,Central Hub (WH-01),2271,364,$253.82
SKU-EL-21029,CPU - Wireless,Central Hub (WH-01),773,329,$187.26
PRD-HW-44967,Monitor - Wireless,Central Hub (WH-01),106,110,$392.48
